"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.373337400E-2,3.466804028E0,5.425560474E0,7.692869186E0
1.574637400E-2,3.462015629E0,5.427954674E0,7.707234383E0
1.775837400E-2,3.469198227E0,5.399224281E0,7.733570576E0
1.977087400E-2,3.464409828E0,5.384859085E0,7.750329971E0
2.178354000E-2,3.452438831E0,5.375282288E0,7.752724171E0
2.379604000E-2,3.438073635E0,5.360917091E0,7.774271965E0
2.580864000E-2,3.421314240E0,5.341763496E0,7.803002834E0
2.782114000E-2,3.371036053E0,5.336975098E0,7.853281021E0
2.983342500E-2,3.366247654E0,5.320215225E0,7.882011414E0
3.184580000E-2,3.339911461E0,5.301061630E0,7.946654797E0
3.385835500E-2,3.318363667E0,5.269937038E0,7.996932983E0
3.587075500E-2,3.320757866E0,5.269937038E0,8.018480301E0
3.788320900E-2,3.303998232E0,5.269937038E0,8.035240173E0
3.989562500E-2,3.294421434E0,5.267542839E0,8.006509781E0
4.192131700E-2,3.284844637E0,5.293879032E0,7.951443195E0
4.394617400E-2,3.282450438E0,5.296273232E0,7.932289600E0
4.597017400E-2,3.256114244E0,5.286696434E0,7.901165009E0
4.799342400E-2,3.227383852E0,5.279513836E0,7.858069420E0
5.001607100E-2,3.215412855E0,5.281908035E0,7.848492622E0
5.203812600E-2,3.189076662E0,5.272331238E0,7.810185432E0
5.405965200E-2,3.155557871E0,5.243600845E0,7.779060364E0
5.608065200E-2,3.131615877E0,5.234024048E0,7.755118370E0
5.810122300E-2,3.114856482E0,5.219658852E0,7.735964775E0
6.012145000E-2,3.095702887E0,5.229235649E0,7.731176376E0
6.214131900E-2,3.078943491E0,5.222053051E0,7.728782177E0
6.416086000E-2,3.062183857E0,5.222053051E0,7.709628582E0
6.618010000E-2,3.074155092E0,5.200505257E0,7.709628582E0
6.819902300E-2,3.052607059E0,5.205293655E0,7.728782177E0
7.021768900E-2,3.057395458E0,5.205293655E0,7.731176376E0
7.223611700E-2,3.086126089E0,5.178957462E0,7.716811180E0
7.425428900E-2,3.045424461E0,5.159803867E0,7.680898190E0
7.719828900E-2,3.019088268E0,5.155015469E0,7.652167797E0
7.923037400E-2,2.997540474E0,5.162198067E0,7.604283810E0
8.124237400E-2,2.990357876E0,5.162198067E0,7.592312813E0
8.325337400E-2,3.009511471E0,5.159803867E0,7.573159218E0
8.526487400E-2,2.973598480E0,5.181351662E0,7.544428825E0
8.727620700E-2,2.942473888E0,5.186140060E0,7.515698433E0
8.928770700E-2,2.932897091E0,5.193322659E0,7.496544838E0
9.129950700E-2,2.896984100E0,5.190928459E0,7.443872452E0
9.331134000E-2,2.882618904E0,5.190928459E0,7.393594265E0
9.532319700E-2,2.870647907E0,5.198111057E0,7.372046471E0
9.733507200E-2,2.875436306E0,5.181351662E0,7.331345081E0
9.934707200E-2,2.868253708E0,5.195716858E0,7.305008888E0
1.013591720E-1,2.882618904E0,5.195716858E0,7.309797287E0
1.033713530E-1,2.894589901E0,5.210082054E0,7.305008888E0
1.053836030E-1,2.916137695E0,5.238812447E0,7.314585686E0
1.073959870E-1,2.911349297E0,5.274725437E0,7.314585686E0
1.094083440E-1,2.928108692E0,5.296273232E0,7.328950882E0
