"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.098096000E-3,4.934749126E0,5.245995045E0,6.725611687E0,9.854240991E0
1.110909600E-2,4.944325924E0,5.243600845E0,6.749553680E0,9.874116849E0
1.312209600E-2,4.953902721E0,5.245995045E0,6.780678272E0,9.901475345E0
1.513409600E-2,4.968267918E0,5.243600845E0,6.785466671E0,9.910680797E0
1.716242900E-2,4.989815712E0,5.236418247E0,6.725611687E0,9.876851192E0
1.917467900E-2,4.970662117E0,5.236418247E0,6.646603107E0,9.813505531E0
2.118707900E-2,4.968267918E0,5.245995045E0,6.591536522E0,9.780209805E0
2.319957900E-2,4.958691120E0,5.320215225E0,6.459855556E0,9.727437560E0
2.521229300E-2,4.963479519E0,5.404012680E0,6.309020519E0,9.676942797E0
2.722504300E-2,4.951508522E0,5.435137272E0,6.237194538E0,9.641615503E0
2.923782000E-2,4.958691120E0,5.523722649E0,6.103119373E0,9.609796856E0
3.125072000E-2,4.973056316E0,5.605125427E0,5.957073212E0,9.572640254E0
3.326362900E-2,5.028122902E0,5.655403614E0,5.813420773E0,9.542613428E0
3.527646200E-2,5.037699699E0,5.667374611E0,5.746383190E0,9.514119666E0
3.728930800E-2,5.152621269E0,5.676951408E0,5.590760231E0,9.488618614E0
3.930216500E-2,5.277119637E0,5.691316605E0,5.459079266E0,9.488973747E0
4.131503100E-2,5.284302235E0,5.693710804E0,5.423166275E0,9.473802049E0
4.332790600E-2,5.257966042E0,5.669768810E0,5.380070686E0,9.420066127E0
4.534078800E-2,5.255571842E0,5.621884823E0,5.305850029E0,9.347655796E0
4.735367600E-2,5.255571842E0,5.593154430E0,5.291484833E0,9.322243486E0
4.936657000E-2,5.279513836E0,5.528511047E0,5.289090633E0,9.295815213E0
5.142212000E-2,5.317821026E0,5.480627060E0,5.265148640E0,9.275682381E0
5.347569100E-2,5.315426826E0,5.365705490E0,5.234024048E0,9.189100363E0
5.552741800E-2,5.265148640E0,5.260360241E0,5.207687855E0,9.083677276E0
5.757746100E-2,5.171774864E0,5.131073475E0,5.181351662E0,8.939886761E0
5.962596100E-2,5.107131481E0,5.073612690E0,5.188534260E0,8.873850656E0
6.167308100E-2,4.965873718E0,4.953902721E0,5.281908035E0,8.780638157E0
6.371892700E-2,4.833893299E0,4.862623692E0,5.368099689E0,8.707934765E0
6.576355600E-2,4.776432514E0,4.805162907E0,5.418377876E0,8.675408747E0
6.780709100E-2,4.687847137E0,4.697423935E0,5.547664642E0,8.649756378E0
6.984957300E-2,4.625597477E0,4.572925091E0,5.732017994E0,8.669707388E0
7.189107300E-2,4.606443882E0,4.508281708E0,5.820603371E0,8.684661927E0
7.393253900E-2,4.625597477E0,4.357447147E0,6.002563000E0,8.741525052E0
7.597410500E-2,4.704606533E0,4.177882195E0,6.194098949E0,8.829206310E0
7.801403800E-2,4.762067318E0,4.086902142E0,6.265924931E0,8.868025118E0
8.005560400E-2,4.848258495E0,3.933673382E0,6.452672958E0,8.978662763E0
8.209717000E-2,4.949114323E0,3.823540211E0,6.644208908E0,9.124620778E0
8.413877000E-2,5.080795288E0,3.775655985E0,6.763918877E0,9.263943947E0
8.618030300E-2,5.150227070E0,3.770867586E0,6.807014942E0,9.331652246E0
8.822180300E-2,5.255571842E0,3.758896589E0,6.862081528E0,9.425417861E0
9.026330300E-2,5.370493889E0,3.770867586E0,6.912359715E0,9.531126050E0
9.230470300E-2,5.427954674E0,3.770867586E0,6.929119110E0,9.575741534E0
9.434606900E-2,5.530905247E0,3.794809580E0,6.950666904E0,9.659361418E0
9.638843500E-2,5.669768810E0,3.835511208E0,6.988974094E0,9.782800390E0
9.842986800E-2,5.732017994E0,3.857059002E0,7.027281284E0,9.854725601E0
1.004713010E-1,5.913977623E0,3.885789394E0,7.125443459E0,1.004223257E1
1.025127340E-1,6.033687592E0,3.945644379E0,7.206846237E0,1.019372985E1
1.045541670E-1,6.055235386E0,3.991134167E0,7.235576630E0,1.024444223E1
1.065956000E-1,6.081571579E0,4.094084740E0,7.269095421E0,1.032408790E1
1.086370330E-1,6.038475990E0,4.170699596E0,7.245153427E0,1.031262215E1
1.106784990E-1,5.981015205E0,4.276044369E0,7.175721645E0,1.027365950E1
1.126915320E-1,5.959467411E0,4.323928356E0,7.130231857E0,1.024947875E1
1.147045650E-1,5.909189224E0,4.381389141E0,7.022492886E0,1.017007839E1
1.167176310E-1,5.858911037E0,4.443638325E0,6.919542313E0,1.009716920E1
1.187307640E-1,5.856516838E0,4.481945515E0,6.883629322E0,1.008816027E1
1.207438970E-1,5.861305237E0,4.537012100E0,6.799831867E0,1.005868238E1
1.227569970E-1,5.882853031E0,4.592078686E0,6.737582684E0,1.005436059E1
1.247700630E-1,5.897218227E0,4.611232281E0,6.732794285E0,1.006832483E1
1.267831630E-1,5.945102215E0,4.608838081E0,6.735188484E0,1.009694967E1
1.287962290E-1,5.985803604E0,4.589684486E0,6.751947880E0,1.012343068E1
1.308092950E-1,6.004957199E0,4.503493309E0,6.763918877E0,1.010403689E1
1.328222610E-1,5.961861610E0,4.374206543E0,6.773495674E0,1.002784725E1
1.348352940E-1,5.712864399E0,3.871424198E0,6.845322132E0,9.720245885E0
1.368482940E-1,5.717652798E0,3.770867586E0,6.744765282E0,9.612640354E0
1.388612940E-1,5.705681801E0,3.708618402E0,6.660968304E0,9.522455251E0
1.408742940E-1,5.597942829E0,3.694253206E0,6.579565525E0,9.395485787E0
1.428872940E-1,5.494992256E0,3.761290789E0,6.550835133E0,9.341075378E0
1.449002600E-1,5.401618481E0,3.821146011E0,6.553229332E0,9.312542818E0
1.469132930E-1,5.116708279E0,3.945644379E0,6.498162746E0,9.163783730E0
1.489263590E-1,4.778826714E0,4.007893562E0,6.316203594E0,8.876644828E0
1.509394250E-1,4.623203278E0,3.991134167E0,6.208464146E0,8.709086492E0
1.529525250E-1,4.359841347E0,3.945644379E0,5.978621006E0,8.385716145E0
1.549656580E-1,4.132391930E0,3.852270603E0,5.775113583E0,8.078897744E0
1.569778240E-1,4.055777550E0,3.809175014E0,5.686528206E0,7.955862547E0
1.589909240E-1,3.960009575E0,3.754108191E0,5.502174854E0,7.749124613E0
1.610039900E-1,3.924096584E0,3.682282209E0,5.377676487E0,7.607702720E0
1.630170230E-1,3.931279182E0,3.675099611E0,5.339369297E0,7.580908762E0
1.650300560E-1,3.964797974E0,3.718195200E0,5.329792023E0,7.612573909E0
1.670430890E-1,4.000710964E0,3.751713991E0,5.320215225E0,7.641055957E0
1.690561220E-1,3.998316765E0,3.794809580E0,5.382464886E0,7.704417236E0
1.710690880E-1,4.000710964E0,3.818751812E0,5.504569054E0,7.803129762E0
1.730819880E-1,4.201824188E0,3.904942989E0,5.854122639E0,8.196014771E0
1.750948210E-1,4.596867085E0,3.912125587E0,6.155791759E0,8.621466568E0
1.771075870E-1,4.848258495E0,3.881000996E0,6.249165535E0,8.810212770E0
1.791202870E-1,5.346551895E0,3.864241600E0,6.313809395E0,9.131383761E0
1.811329870E-1,5.607519627E0,3.907337189E0,6.471826553E0,9.412550090E0
1.831456870E-1,5.710470200E0,3.916913986E0,6.589142323E0,9.558686187E0
1.851583870E-1,5.918766022E0,3.878606796E0,6.828562737E0,9.833852294E0
1.871710200E-1,6.076783180E0,3.770867586E0,7.056011677E0,1.004659330E1
1.891836860E-1,6.136638165E0,3.730166197E0,7.161356449E0,1.014186837E1
1.911963860E-1,6.282684326E0,3.696647406E0,7.494150639E0,1.045464577E1
1.932091520E-1,6.316203594E0,3.672705412E0,7.618649006E0,1.055589909E1
1.952219180E-1,6.371270180E0,3.588908434E0,7.841310024E0,1.072191636E1
1.972346840E-1,6.364087582E0,3.543418407E0,7.941866398E0,1.077639395E1
1.992474840E-1,6.309020519E0,3.438073635E0,8.109460831E0,1.083454868E1
2.012602840E-1,6.206069946E0,3.335123062E0,8.212410927E0,1.082044561E1
2.032731170E-1,6.131849766E0,3.256114244E0,8.236352921E0,1.077215721E1
